,Abstract,Year
978,[No abstract available],2025
259,"Background – There is emerging evidence that plaque features may play a critical role in future acute coronary syndrome. In this study, we analyzed plaque features using an artificial intelligence-enabled algorithm in a clinical cohort who developed non-ST-elevation myocardial infarction (NSTEMI) following coronary CT angiogram (CCTA). Methods – We performed a case-control study selected from 13 751 consecutive cases in a single center referred for outpatient CCTA. After a follow-up of 4.3 ± 4 years, 48 patients without preexisting coronary disease developed NSTEMI. Controls (N = 187) were matched to the cases on age, gender, BMI, and kilovoltage for CTA acquisition. Quantitative plaque analysis was performed using artificial intelligence-enabled Autoplaque software (Autoplaque version 3.0; Cedars-Sinai Medical Center, Los Angeles, California, USA). Multivariable Cox proportional hazards models were performed to identify the predictors of NSTEMI. Results – The mean age was 64 ± 11 years. Both case and control groups had mild stenosis at baseline (26 vs 17%, P = 0.01). The total calcified plaque and fibrous plaque volume were not different (P = 0.10 and P = 0.13, respectively). Necrotic core plaque volume and fibrous fatty plaque volume were higher in the NSTEMI group (28 ± 29 vs 9 ± 13 mm3, 169 ± 157 vs 84 ± 105 mm3, respectively, both P < 0.01). In multivariable Cox regression, necrotic core volume portended the greatest risk of NSTEMI, a seven-fold higher than that of total plaque volume. Conclusion – Using artificial intelligence-enabled plaque analysis, noncalcified plaque volume, especially necrotic core and fibrous fatty plaque volume are important precursors for future NSTEMI events. © 2024 Wolters Kluwer Health, Inc. All rights reserved.",2026
838,[No abstract available],2025
1031,"Context: The presence of metabolic dysfunction–associated steatotic liver disease (MASLD) in patients with diabetes mellitus (DM) is associated with a high risk of cardiovascular disease, but is often underdiagnosed. Objective: To develop machine learning (ML) models for risk assessment of MASLD occurrence in patients with DM. Methods: Feature selection determined the discriminative parameters, utilized to classify DM patients as those with and without MASLD. The performance of the multiple logistic regression model was quantified by sensitivity, specificity, and percentage of correctly classified patients, and receiver operating characteristic (ROC) curve analysis. Decision curve analysis (DCA) assessed the model’s net benefit for alternative treatments. Results: We studied 2000 patients with DM (mean age 58.85 ± 17.37 years; 48% women). Eight parameters: age, body mass index, type of DM, alanine aminotransferase, aspartate aminotransferase, platelet count, hyperuricaemia, and treatment with metformin were identified as discriminative. The experiments for 1735 patients show that 744/991 (75.08%) and 586/744 (78.76%) patients with/without MASLD were correctly identified (sensitivity/specificity: 0.75/0.79). The area under ROC (AUC) was 0.84 (95% CI, 0.82-0.86), while DCA showed a higher clinical utility of the model, ranging from 30% to 84% threshold probability. Results for 265 test patients confirm the model’s generalizability (sensitivity/specificity: 0.80/0.74; AUC: 0.81 [95% CI, 0.76-0.87]), whereas unsupervised clustering identified high-risk patients. Conclusion: A ML approach demonstrated high performance in identifying MASLD in patients with DM. This approach may facilitate better risk stratification and cardiovascular risk prevention strategies for high-risk patients with DM at risk of MASLD. © The Author(s) 2024. Published by Oxford University Press on behalf of the Endocrine Society.",2024
1862,"Cardiovascular diseases (CVDs) such as hypertension, heart failure, stroke, and coronary artery disease are now the major causes of early death worldwide, particularly in low and middle-income countries. Early detection of these disorders could lower the number of people who die prematurely. Researchers have proposed many techniques for CVD prediction, such as data mining, machine learning (ML), and the Internet of Things (IoT), for the early detection and monitoring of cardiac patients. Although these techniques are suggested and sometimes used, there is still much worry regarding their efficacy in situations where the error rate is high and accuracy is doubtful. As a result, it is necessary to select a prediction technique that can deliver more accuracy and fewer errors. This paper proposes an effective ensemble method based on the Random Forest (RF) algorithm for improving accuracy by combining multiple feature selection techniques. A classification model is built using training datasets and produces several decision trees. These datasets adjust for any missing data and include estimates of important classification variables. Data preparation and feature selection approaches such as correlation coefficients and data mining feature selection techniques are applied to remove outliers. Finally, a cardiovascular disease prediction model is created, and the model's increased performance accuracy is tested using a confusion matrix. A dataset from the Kaggle repository with 1025 data points and 14 attributes is used. The saved data are then preprocessed, yielding a dataset of 769 records and 13 variables that are evaluated using RF and compared to various models such as K-Nearest Neighbor (K-NN), Support Vector Machine (SVM), and Logistic Regression (LR) for the prediction of heart disorders. After employing several techniques, the proposed model achieves an accuracy of 99%, which shows a significant improvement over the other assessed models. © 2023 The Authors",2023
1977,"Introduction: Recent advances in machine learning provide new possibilities to process and analyse observational patient data to predict patient outcomes. In this paper, we introduce a data processing pipeline for cardiogenic shock (CS) prediction from the MIMIC III database of intensive cardiac care unit patients with acute coronary syndrome. The ability to identify high-risk patients could possibly allow taking pre-emptive measures and thus prevent the development of CS. Methods: We mainly focus on techniques for the imputation of missing data by generating a pipeline for imputation and comparing the performance of various multivariate imputation algorithms, including k-nearest neighbours, two singular value decomposition (SVD)—based methods, and Multiple Imputation by Chained Equations. After imputation, we select the final subjects and variables from the imputed dataset and showcase the performance of the gradient-boosted framework that uses a tree-based classifier for cardiogenic shock prediction. Results: We achieved good classification performance thanks to data cleaning and imputation (cross-validated mean area under the curve 0.805) without hyperparameter optimization. Conclusion: We believe our pre-processing pipeline would prove helpful also for other classification and regression experiments. 2023 Jajcay, Bezak, Segev, Matetzky, Jankova, Spartalis, El Tahlawi, Guerra, Friebel, Thevathasan, Berta, Pölzl, Nägele, Pogran, Cader, Jarakovic, Gollmann-Tepeköylü, Kollarova, Petrikova, Tica, Krychtiuk, Tavazzi, Skurk, Huber and Böhm.",2023
720,"Objectives: Data suggest patients suffering acute coronary occlusion myocardial infarction (OMI) benefit from prompt primary percutaneous intervention (PPCI). Many emergency medical services (EMS) activate catheterization labs to reduce time to PPCI, but suffer a high burden of inappropriate activations. Artificial intelligence (AI) algorithms show promise to improve electrocardiogram (ECG) interpretation. The primary objective was to evaluate the potential of AI to reduce false positive activations without missing OMI. Methods: Electrocardiograms were categorized by (1) STEMI criteria, (2) ECG integrated device software and (3) a proprietary AI algorithm (Queen of Hearts (QOH), Powerful Medical). If multiple ECGs were obtained and any one tracing was positive for a given method, that diagnostic method was considered positive. The primary outcome was OMI defined as an angiographic culprit lesion with either TIMI 0–2 flow; or TIMI 3 flow with either peak high sensitivity troponin-I > 5000 ng/L or new wall motion abnormality. The primary analysis was per-patient proportion of false positives. Results: A total of 140 patients were screened and 117 met criteria. Of these, 48 met the primary outcome criteria of OMI. There were 80 positives by STEMI criteria, 88 by device algorithm, and 77 by AI software. All approaches reduced false positives, 27% for STEMI, 22% for device software, and 34% for AI (p < 0.01 for all). The reduction in false positives did not significantly differ between STEMI criteria and AI software (p = 0.19) but STEMI criteria missed 6 (5%) OMIs, while AI missed none (p = 0.01). Conclusions: In this single-center retrospective study, an AI-driven algorithm reduced false positive diagnoses of OMI compared to EMS clinician gestalt. Compared to AI (which missed no OMI), STEMI criteria also reduced false positives but missed 6 true OMI. External validation of these findings in prospective cohorts is indicated. © 2024 National Association of EMS Physicians.",2025
51,"BackgroundPlaque assessment by quantitative coronary CT angiography has demonstrated to correlate highly with intravascular ultrasound and optical coherence tomography, and these modalities have shown strong prognostic value.ObjectivesThe purpose of this study was to identify the prognostic value of artificial intelligence–guided quantitative CCTA (AI-QCT) for major adverse cardiovascular events (MACE) against the risk factor–weighted clinical likelihood model.MethodsThe CONFIRM2 (COroNary CT Angiography Evaluation For Evaluation of Clinical Outcomes: An InteRnational, Multicenter Registry) is a multicenter, international, observational cohort study that included patients with clinically indicated CCTA and follow-up for MACE. Patients without cardiac symptoms and prior coronary artery disease (CAD) were excluded. Across the entire coronary artery tree, the presence, extent, and composition of CAD were analyzed by an AI-QCT software, and 24 variables at a patient, vessel, and plaque level were derived, including percent luminal narrowing, remodeling index, plaque volumes (total, calcified, noncalcified, low attenuation), and plaque composition. The primary MACE endpoint was defined as a composite of all-cause death, myocardial infarction (MI), stroke, congestive heart failure, late revascularizations, and hospitalization for unstable angina. The secondary MACE endpoint was defined as all-cause death and MI.ResultsA total of 3,551 patients (age 58.8 ± 12.5 years, 50.5% male) were followed for a median of 4.27 (IQR: 3.47-5.08) years during which 167 (4.7%) events occurred. After excluding collinear variables, diameter stenosis (HR: 1.25 [95% CI: 1.18-1.32]) per 10% increase and noncalcified plaque volume (HR: 1.07 [95% CI: 1.03-1.11]) per 50 mm3 increase were the only independent predictors for MACE. In multivariable modeling, the discriminatory value defined by area under the curve (AUC) improved from 0.63 (95% CI: 0.58-0.67) based on the risk factor–weighted clinical likelihood model to 0.76 (95% CI: 0.77-0.80), P < 0.001 when adding AI-QCT-based diameter stenosis and noncalcified plaque volume. A similar improvement in risk prediction was seen when adding AI-QCT (AUC 0.77; P < 0.001) to a model with traditional risk factors, age, and sex (AUC: 0.67). In addition, AI-QCT significantly improved discrimination compared to the atherosclerotic cardiovascular disease risk score (AUC: 0.63; 95% CI: 0.58-0.68) to 0.75 (95% CI: 0.69-0.80; P < 0.001). Similar results were seen for the secondary MACE endpoint of death/MI.ConclusionsThis first multicenter global registry with AI-guided quantitative CT identified noncalcified plaque burden and increment in stenosis severity as the most powerful predictors of MACE, demonstrating the interplay between traditional and novel measures of the severity of CAD. Standardized and rapid quantitative assessment of CAD may improve clinical implementation of multidimensional assessment of CAD as a cornerstone for risk assessment. © 2026 The Authors. Published by Elsevier on behalf of the American College of Cardiology Foundation. This is an open access article under the CC BY license. http://creativecommons.org/licenses/by/4.0/",2026
1540,"Introduction: In CIED infections, all device material needs to be removed. But, especially in pacemaker-dependent patients it is often not possible to realize a device-free interval for infection remediation. In those patients, different treatment options are available, however the ideal solution needs still to be defined. Methods: This retrospective analysis includes 190 patients undergoing CIED extractions due to infection. Three different treatment algorithms were analyzed: Group 1 included 89 patients with system removal only (System removal group). In Group 2, 28 patients received an epicardial electrode during extraction procedure (Epicardial lead group) while 78 patients in group 3 (contralateral reimplantation group) received implantation of a new system contralaterally during extraction procedure. We analyzed peri- and postoperative data as well as 1-year outcomes of the three groups. Results: Patients in the system removal and epicardial lead groups were significantly older, had more comorbidities, and suffered more frequently from systemic infections than those in contralateral reimplantation group. Lead extraction procedures had comparable success rates: 95.5%, 96.4%, and 93.2% of complete lead removal in the System removal, Epicardial Lead, Contralateral re-implantation group respectively. Device reimplantation was performed in all patients in Epicardial lead and Contralateral reimplantation group, whereas only 49.4% in System removal group received device re-implantation. At 1-year follow-up, freedom from infection and absence of pocket irritation were comparable for all groups (94.7% Contralateral reimplantation group and Epicardial lead group, 100% System removal group). No procedure-related mortality was observed, whereas 1-year mortality was 3.4% in System removal group, 4.1% in Contralateral re-implantation group and 21.4% in Epicardial lead group (p < 0.001). Conclusion: In patients with CIED infection, systems should be removed completely and reimplanted after infection remediation. In pacemaker-dependent patients, simultaneous contralateral CIED re-implantation or epicardial lead placement may be performed, depending on route, severity and location of infection. 2024 Burger, Strauß, Chung, Richter, Ziegelhöffer, Hakmi, Reichenspurner, Choi and Pecha.",2023
344,"Object: The differentiation of acute myocardial infarction (AMI) has long been a challenging problem in clinical diagnosis and forensic identification. Recent studies have shown that microRNAs (miRNAs) in exosomes are involved in the development and progression of AMI. results indicated that plasma exosomal miRNAs can be considered as novel biomarkers for early AMI recognition. Method: In this study, exosomal miRNAs in plasma associated with the pathogenesis of AMI was explored and AMI identification model based on these miRNAs were established using machine learning technology. Result: Following the analysis of differentially expressed miRNAs in plasma-derived exosomes, the expression levels of 36 miRNAs increase with the passage of time, including miR-3473, miR-504, miR-490-5p, miR-218a-2-3p, and miR-760-3p, showed an increasing trend over time in the plasma exosomes of AMI rats. Based on machine learning techniques, miR-3473, miR-504, miR-490-5p, miR-218a-2-3p were used to construct a model for recognizing early AMI. The precision of the AMI identification model reached 0.955. Conclusion: The results indicated that plasma exosomal miRNAs can be considered as novel biomarkers for early AMI recognition. © The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature 2025.",2026
724,"Background: Patients with coronary artery disease (CAD) and type 2 diabetes mellitus (T2DM) are at markedly increased risk of developing heart failure (HF), yet early identification of high-risk individuals remains challenging. The remnant cholesterol inflammatory index (RCII) has been proposed as a predictor of adverse cardiovascular outcomes, but its role in patients with CAD and T2DM has not been fully elucidated. Methods: We retrospectively analyzed clinical data from patients treated at our center. Demographic characteristics, comorbidities, medication use, and laboratory parameters were collected. Key features were selected using the Boruta algorithm, and five machine learning models—logistic regression (Logistic), decision tree (DT), elastic net regression (ENet), LASSO regression, and naïve Bayes (NB)—were constructed. Discrimination was assessed by receiver operating characteristic (ROC) curves and area under the curve (AUC), calibration by calibration plots and Brier scores, and interpretability by SHAP analysis. Results: Among 1181 enrolled patients, 73 developed HF. Median RCII levels were significantly higher in the HF group. Boruta feature selection identified 13 key predictors for model development. Logistic regression demonstrated the best performance, achieving AUCs of 0.88 in the training set and 0.85 in the testing set, with overall accuracy of 0.87 and F1-score of 0.79 in the testing cohort. SHAP analysis revealed that elevated RCII, poor nutritional status, and smoking were major contributors to HF occurrence, with RCII showing a positive association with HF risk. Conclusion: RCII is a valuable predictor of HF in patients with CAD and T2DM. Higher RCII levels are closely linked to an increased risk of HF. © 2025 Luo et al.",2025
303,"Background – Hypertension significantly contributes to cardiovascular morbidity and mortality but is often underdiagnosed and poorly controlled, as intermittent cuff-based measurements provide only discrete readings and miss short-term vascular dynamics. Photoplethysmography (PPG), a noninvasive optical technique tracking pulsatile blood-volume changes, offers a practical, low-cost, wearable-compatible alternative capable of capturing temporal and morphological waveform patterns. Unlike dual-sensor or calibration-dependent systems, single-site PPG can extract indices linked to arterial stiffness, compliance, and wave reflection, providing physiologically interpretable vascular information. Advances in signal processing and interpretable machine learning have shifted PPG analysis from descriptive morphology to feature-driven clinical prediction. Integrating waveform metrics—such as systolic amplitude, contour sharpness, and harmonic energy distribution—with demographic variables enables transparent modeling of blood-pressure status. Objective – To develop an interpretable machine-learning model for classifying systolic blood pressure (SBP) status using physiological and morphological features derived from a single PPG signal. Methods – We analyzed 860 participants and extracted waveform-derived and clinical features from 90-second fingertip PPG recordings. A LASSO-regularized logistic regression model with fivefold cross-validation was used for feature selection and classification, and model interpretability was assessed using SHAP values. Results – The final model achieved an AUC of 0.83 (95% CI 0.79–0.87), an F1-score of 0.83, and a Cohen’s d of 1.39. Five predictors were retained: age, BMI, P1 amplitude, waveform sharpness (1_10), and harmonic ratio (H2/H1). Higher P1, greater waveform sharpness, and higher BMI were positively associated with elevated SBP, whereas H2/H1 was negatively associated. Conclusion – An interpretable PPG-based model using physiologically meaningful features can distinguish hypertensive from normotensive individuals and may serve as a practical digital screening tool for elevated systolic blood pressure. Copyright © 2026 Lin, Wang, Chao, Lin, Chang, Lu, Lin and Ko.",2026
756,"Despite many years of ongoing research into cardiovascular biomarkers, cTn and NP currently remain the most accurate laboratory parameters for the routine laboratory diagnosis of myocardial injury or myocardial stress. Despite a number of interesting candidate biomarkers, it will be difficult to replace or supplement them with additional biomarker testing that would lead to clinically meaningful improvements in diagnosis and risk stratification. Alongside blood count, C-reactive protein,17and D-Dimer,18,19they form the basis of laboratory testing for the evaluation of patients presenting to the emergency department with acute chest discomfort or dyspnoea (Graphical abstract). This panel's sensitivity for detecting life-threatening diseases is difficult to outperform. Additional biomarkers, however, could significantly improve the specificity of detecting specific cardiovascular diseases. For example, they could increase the specificity of hs-cTn testing for the detection of type 1 AMI. In this respect, cTn composition testing is promising. However, proteomic techniques continue to foster discovery with the hope to identify novel biomarkers to advance the care of patients with acute cardiovascular diseases. © The Author(s) 2025. Published by Oxford University Press on behalf of the European Society of Cardiology. All rights reserved.",2025
23,"Purpose: In India, myocardial infarction (MI) is a significant cause of mortality related to cardiovascular diseases. Timely diagnosis is critical for addressing this issue. While prior studies have concentrated on digital electrocardiogram (ECG) data, the presence of noise and artifacts in paper electrocardiogram is not well addressed in the literature. So, it is important to incorporate a more diverse range of data to understand the intricacies involved in MI diagnosis comprehensively. Methods: This paper proposes an approach for MI and non-MI classification and cardiac rhythm classification using ECG. Modified versions of GoogleNet-Gated Recurrent Unit (GRU) and ResNet50- Bidirectional Long Short-Term Memory (BiLSTM) models were utilized for MI/non-MI and cardiac rhythm classification, respectively. Three different datasets (PTB-XL (dataset 1), ECG images of cardiac patients’ data samples (dataset 2), and hospital paper ECG (dataset 3) were used for training the datasets, and final testing was done on digitized hospital paper ECG. Results: The proposed model achieved 88.8% accuracy on the PTB-XL dataset for MI/non-MI classification but showed performance disparity on dataset 3 test data. After a training-retraining process on datasets 2 and 3 and testing on dataset 3 test data, the model showed an accuracy of 92.50% with a balanced performance. For five-class cardiac rhythm classification, the proposed model attained 93.50% accuracy. Conclusion: Retraining models on diverse datasets enhances generalization to real-world scenarios. The study’s findings emphasize the importance of incorporating various data sources to improve model robustness and reliability in clinical applications. The developed application facilitates the seamless integration of digitization and classification processes for enhanced diagnostic accuracy. © Indian Association of Cardiovascular-Thoracic Surgeons 2026.",2026
591,"Background: Ethnic differences in coronary atherosclerosis remain to be fully elucidated. We aimed to assess quantitative plaque characteristics from coronary CT Angiography (CCTA) in relation to ethnicity and cardiovascular risk factors in a multi-ethnic asymptomatic US population. Methods: This cross-sectional study retrospectively evaluated 388 asymptomatic patients selected from a prospective CCTA registry. A total of 194 patients from ethnic minority groups (Asian, African American, and Hispanic) were matched by age, sex, and cardiovascular risk factors to 194 White patients. Quantitative plaque volumes—including total plaque, non-calcified plaque, low-attenuation non-calcified plaque (<30 Hounsfield Units [HU]), and calcified plaque—were measured using artificial intelligence-enabled software. Pericoronary adipose tissue attenuation (PCAT) was also assessed and reported in Hounsfield Units (HU). Results: The total study population included 388 patients (age 59.9±11.7 years, 68% male), of which 63% had coronary atherosclerosis with total plaque volumes of 149[IQR 50-438] mm3, driven predominantly by non-calcified plaque (122, IQR 27-369) mm3. Men presented higher volumes of all plaque components compared to women (P<0.05). In multivariable analysis adjusted for cardiovascular risk factors, only African American patients were associated with lower total plaque (β=-89.2, P=0.036), calcified (β=-26.1, P=0.015), and non-calcified plaque volumes (β=-62.7, P=0.022). African American patients were also associated with higher PCAT (β=5.8, P<0.001), along with family history of coronary artery disease (β=2.1, P=0.04). Conclusions: Our study showed a uniformly high prevalence of atherosclerosis in this asymptomatic cohort, with lower plaque volumes of all sub-components in women. African American patients were associated with lower quantitative plaque volumes (total, non-calcified and calcified) but with higher PCAT compared to White patients; with no significant differences observed among other ethnic minorities. © 2025",2025
888,"Background: The analysis of cardiovascular borders (CVBs) in chest x-rays (CXRs) traditionally relied on subjective assessment and does not have established normal ranges. Objectives: The authors aimed to develop a deep learning-based method for quantifying CVBs on CXRs and to explore its clinical utility. Methods: This study used a prevalidated deep learning to analyze CVBs. A total of 96,129 normal CXRs from 4 sites were used to establish age- and sex-specific normal ranges of CVBs. The quantified CVBs were standardized into z-scores for newly inputted CXRs. The clinical utility of the z-score analysis was tested using 44,567 diseased CXRs from 3 sites (9,964 valve disease; 32,900 coronary artery disease; 1,299 congenital heart disease; 294 aortic aneurysm; 110 mediastinal mass). Results: For distinguishing valve disease from normal controls, the area under the receiver operating characteristic curve for the cardiothoracic ratio was 0.80 (95% CI: 0.80-0.80), while the combination of right atrium and left ventricle borders had an area under the receiver operating characteristic curve of 0.83 (95% CI: 0.83-0.83). Between mitral and aortic stenosis, z-scores of CVBs were significantly different in the left atrial appendage (1.54 vs 0.33, P < 0.001), carinal angle (1.10 vs 0.67, P < 0.001), and ascending aorta (0.63 vs 1.02, P < 0.001), reflecting disease pathophysiology. Cardiothoracic ratio was independently associated with a 5-year risk of death or myocardial infarction in the coronary artery disease (z-score ≥2, adjusted HR: 3.73 [95% CI: 2.09-6.64], reference z-score <−1). Conclusions: Deep learning-derived z-score analysis of CXR showed potential in classifying and stratifying the risk of cardiovascular abnormalities. © 2025 The Authors",2025
464,"Background: The severity and extent of whole heart coronary plaque volume and stenosis can be reliably measured by artificial intelligence–guided quantitative coronary computed tomography angiography (AI-QCT). Limited data are available on the potential incremental prognostic value compared with currently recommended qualitative coronary computed tomography angiography (CTA) reads and the coronary artery calcium score (CACS). Objectives: The aim of this study was to evaluate the prognostic value of AI-QCT compared with human coronary CTA reads, including the CAD-RADS (Coronary Artery Disease–Reporting and Data System), CACS, and the modified Duke Index. Methods: CONFIRM2 (Quantitative COroNary CT Angiography Evaluation For Evaluation of Clinical Outcomes: An InteRnational, Multicenter Registry) is a multicenter, international, observational cohort study of patients undergoing clinically indicated coronary CTA with follow-up for major adverse cardiac events (MACE). Asymptomatic patients and those with cardiac history were excluded. Coronary artery disease presence, extent, and composition were quantified by AI-QCT across the coronary tree, yielding 24 patient-, vessel-, and plaque-level variables. On the basis of prior analyses, noncalcified plaque burden and diameter stenosis were identified as the strongest predictors and combined for statistical modeling as “AI-QCT.” Comparator computed tomography scores included CAD-RADS, CACS, and the modified Duke Index, whereas clinical predictors were summarized in the risk factor–weighted clinical likelihood score. Area under the curve (AUC) and continuous net reclassification index (NRI) were calculated to assess the incremental value. The primary endpoint was MACE (death, myocardial infarction [MI], stroke, heart failure, late revascularization, or hospital stay for unstable angina), and the secondary endpoint was death or MI. Results: In 1,916 patients with all risk scores available, 87 (4.5%) MACE and 27 (1.4%) death/MI events occurred during 3 years of follow-up. There was a stepwise risk increase with higher coronary artery disease classifications with CAD-RADS and CACS. The addition of AI-QCT significantly improved risk stratification for MACE compared with CAD-RADS (AUC: 0.81 vs 0.79; P < 0.001 and NRI: 0.47; P < 0.001), CACS (AUC: 0.79 vs 0.70; P < 0.001 and NRI 0.61; P < 0.001), the modified Duke Index (AUC: 0.81 vs 0.76; P < 0.001 and NRI: 0.52; P < 0.001), and CAD-RADS + CACS model (AUC: 0.81 vs 0.79; P = 0.004 and NRI: 0.54; P < 0.001). AI-QCT also improved discrimination when results were adjusted for the risk factor–weighted clinical likelihood and for the prediction of death/MI. Excluding 195 patients with severe stenosis (≥70%), in a multivariable model of CAD-RADS and AI-QCT, only AI-QCT was significantly associated with MACE and death/MI, and AI-QCT significantly improved risk stratification compared with CAD-RADS for MACE (AUC: 0.77 vs 0.72; P < 0.001 and NRI: 0.54; P < 0.001) and death/MI (AUC: 0.81 vs 0.73; P = 0.011 and NRI: 0.69; P = 0.001). Conclusions: AI-QCT provided incremental prognostic information compared with CAD-RADS 2.0, CACS, and the modified Duke Index for the prediction of MACE as well as the secondary endpoint of death or nonfatal MI. © 2026 The Authors",2026
1097,"Background: The risk of spinal cord ischemia (SCI) with aortic aneurysm repair can cause significant neurological morbidity. Prevention of SCI is critical. We sought to identify risk factors that predispose to SCI that may guide strategies to mitigate the occurrence of SCI during and following these procedures. Methods: This study includes all adults who underwent atraumatic, unruptured, thoracic, and suprarenal aortic aneurysm repairs (endovascular or open) at our institution over 11 years (2010–2020). Our database included patient demographics, aneurysm anatomic features, and operative characteristics and an extreme gradient boost (XGB) machine method was used to develop a predictive model for SCI. The model was trained on an 80% randomly stratified cohort of the data and tested on the remaining 20% testing cohort. Shapley values were used to determine the most important predictive factors of SCI and decision trees were used to identify risk factor threshold values and highest risk factor combinations. Results: Information was collected for 174 adult patients undergoing thoracic and suprarenal aortic repair from 2010 to 2020. Fifty eight percent of the patients were male. Ninety seven (55.7%) patients had open aortic repair and 87 (44.3%) had endovascular repair. Twenty seven (15%) of all patients had major complications and were considered to have SCI. The XGB model converged over the training cohort with a testing cohort accuracy of 0.841 [Sensitivity = 75%, Specificity = 68%] and area under the curve of receiver operating characteristic of 0.774. The XGB model identified older age (> 65 years), history of neurologic disease, hyperlipidemia, diabetes, coronary artery disease, heart failure, poor renal function, < 6 months since last aortic repair, chronic anticoagulant use, preoperational anemia (Hemoglobin < 9), thrombocytopenia (platelet < 90,000), coagulopathy (prothrombin time > 15s and activated partial thromboplastin time > 40s), hypotension (mean arterial pressure < 70 mm Hg), longer operations (> 100 min), aneurysms longer than 5 cm, and anatomic location of aneurysm caudal to T-11 as risk factors for SCI in all types of aortic repair. Diabetic and heart failure patients undergoing longer operations (> 100 min) with thrombocytopenia or aneurysms longer than 5 cm were at the highest risk. Conclusions: The XGB model accurately identified risk factors of SCI with aortic aneurysm repair that may guide patient selection, timing of surgery, and strategies to minimize the risk of SCI. © 2022 Elsevier Inc.",2023
1134,"(1) Objective: This study aimed to construct a machine learning model for predicting the prognosis of ischemic stroke patients who underwent thrombolysis, assessed through the modified Rankin Scale (mRS) score 90 days after discharge. (2) Methods: Data were sourced from Qatar’s stroke registry covering January 2014 to June 2022. A total of 723 patients with ischemic stroke who had received thrombolysis were included. Clinical variables were examined, encompassing demographics, stroke severity indices, comorbidities, laboratory results, admission vital signs, and hospital-acquired complications. The predictive capabilities of five distinct machine learning models were rigorously evaluated using a comprehensive set of metrics. The SHAP analysis was deployed to uncover the most influential predictors. (3) Results: The Support Vector Machine (SVM) model emerged as the standout performer, achieving an area under the curve (AUC) of 0.72. Key determinants of patient outcomes included stroke severity at admission; admission systolic and diastolic blood pressure; baseline comorbidities, notably hypertension (HTN) and coronary artery disease (CAD); stroke subtype, particularly strokes of undetermined origin (SUO); and hospital-acquired urinary tract infections (UTIs). (4) Conclusions: Machine learning can improve early prognosis prediction in ischemic stroke, especially after thrombolysis. The SVM model is a promising tool for empowering clinicians to create individualized treatment plans. Despite limitations, this study contributes to our knowledge and encourages future research to integrate more comprehensive data. Ultimately, it offers a pathway to improve personalized stroke care and enhance the quality of life for stroke survivors. © 2023 by the authors.",2023
453,"Background: Mozambique has a high burden of tuberculosis (TB) and in 2021, an estimated 18,000 persons with TB nationwide were not diagnosed. Estimates suggest that globally 47% of TB disease in prisons is undiagnosed. We implemented an integrated-care model health intervention to enhance the diagnosis and treatment of TB disease, provide TB preventive treatment (TPT), and identify and treat other undiagnosed health conditions in three prisons in Maputo, Mozambique. Methods: From July 11, 2023, through the second quarter of 2024, we systematically screened for TB using digital chest X-rays with computer-aided detection (DCXR-CAD). This was combined with symptom screening in a parallel algorithm. We conducted clinical assessments for other health conditions and delivered TPT. Graphs visually compare TB case notification trends with two control prisons, which continued the usual standard of care, symptom screening for TB. An interrupted time series (ITS) analysis was used to evaluate TB case notification counts before and after the intervention in the intervention prisons. Results: Of 7912 individuals screened, 264 new diagnoses of TB disease were notified, a TB screening yield of 3.34% and a number needed to screen of 30, and 1346 persons were initiated on TPT. Other conditions diagnosed and treated include HIV (28), malnutrition (830), and skin conditions (462). TB case notifications were higher in the intervention prisons during the intervention than in the preceding period in the same prisons. Comparing case notifications during the intervention with an equivalent period prior to the intervention showed an increase of about 52% in intervention prisons but a decrease in control prisons by the same magnitude. The ITS analysis found the effect of the intervention on TB case notification counts statistically significant in two of the intervention prisons: (incidence rate ratio [IRR] 3.96, 95% confidence interval [CI] 1.51–10.40; p = 0.005) and (IRR 6.17, 95% CI 2.17–17.55; p < 0.001). Conclusions: Strengthening local infrastructure and implementing DCXR-CAD for screening likely contributed to a higher TB yield in the intervention prisons. Screening and diagnosing TB, delivering TB disease treatment and prevention, and addressing other health conditions simultaneously in this vulnerable population were feasible and important. © The Author(s) 2026.",2026
